-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2019 through 12/31/2025 in LST
Location: Latitude  11.554   Longitude -72.9103 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 75.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2019,0.64,0.64,0.59,0.55,0.5,0.56,0.63,0.61,0.56,0.56,0.6,0.6,0.59
ALLSKY_KT,2020,0.61,0.66,0.66,0.59,0.55,0.57,0.6,0.54,0.56,0.55,0.5,0.63,0.58
ALLSKY_KT,2021,0.63,0.64,0.58,0.5,0.54,0.52,0.58,0.55,0.56,0.54,0.6,0.62,0.57
ALLSKY_KT,2022,0.65,0.61,0.59,0.5,0.51,0.57,0.6,0.56,0.54,0.55,0.5,0.61,0.56
ALLSKY_KT,2023,0.64,0.63,0.6,0.59,0.55,0.58,0.58,0.59,0.58,0.55,0.57,0.59,0.59
ALLSKY_KT,2024,0.65,0.6,0.63,0.56,0.51,0.54,0.57,0.59,0.52,0.56,0.51,0.6,0.57
ALLSKY_KT,2025,0.63,0.64,0.64,0.53,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,2019,5.5207,6.0847,5.9923,5.7972,5.2802,5.8231,6.485,6.3149,5.7372,5.4077,5.303,5.0654,5.7322
ALLSKY_SFC_SW_DWN,2020,5.3244,6.2117,6.7546,6.1728,5.7194,5.9124,6.1882,5.6602,5.7413,5.2824,4.3764,5.279,5.7178
ALLSKY_SFC_SW_DWN,2021,5.4406,6.0893,5.9222,5.3093,5.7029,5.3686,6.0631,5.7305,5.6904,5.2262,5.2634,5.1979,5.5814
ALLSKY_SFC_SW_DWN,2022,5.6506,5.8202,6.0182,5.2836,5.3501,5.9398,6.1766,5.808,5.4691,5.2668,4.4314,5.1355,5.5296
ALLSKY_SFC_SW_DWN,2023,5.5858,5.9318,6.1001,6.1586,5.7883,6.0202,6.0074,6.139,5.965,5.3021,5.0633,4.9884,5.7521
ALLSKY_SFC_SW_DWN,2024,5.657,5.6539,6.4145,5.9184,5.3743,5.5649,5.9258,6.0929,5.3381,5.3558,4.4976,5.0618,5.5735
ALLSKY_SFC_SW_DWN,2025,5.4511,6.0271,6.5124,5.5332,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2019,25.78,26.21,26.42,27.82,27.87,28.15,28.09,28.75,28.65,27.79,27.61,27.68,27.57
T2M,2020,26.69,26.8,26.99,28.07,29.1,28.97,28.77,28.75,28.81,28.88,28.15,27.39,28.12
T2M,2021,25.93,26.36,26.38,27.34,28.42,28.73,28.7,29.02,29.2,29.01,28.3,27.53,27.92
T2M,2022,26.41,27.0,27.11,27.2,27.87,28.03,28.05,28.09,27.85,27.67,26.99,25.74,27.33
T2M,2023,25.74,25.52,26.24,27.06,28.38,29.01,28.87,29.25,29.63,28.74,28.17,27.47,27.85
T2M,2024,27.52,27.42,28.28,28.55,29.0,28.26,27.77,28.27,28.56,28.51,27.48,26.87,28.04
T2M,2025,26.03,25.76,26.82,27.36,28.16,27.78,28.22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
